--	O	O	
E	O	O	
la	O	O	
giustizia	O	O	
?	O	O	

--	O	O	
esclamò	O	O	
Lastrucci	B-PER	O	
.	O	O	

--	O	O	
Quale	O	O	
?	O	O	

--	O	O	
replicò	O	O	
Morani	B-PER	O	
.	O	O	

--	O	O	
Di	O	O	
quella	O	O	
del	O	O	
mondo	O	O	
di	O	O	
là	O	O	
,	O	O	
nessuno	B-PER	O	
sa	O	O	
niente	O	O	
;	O	O	
la	O	O	
nostra	O	O	
,	O	O	
l	O	O	
'	O	O	
umana	O	O	
,	O	O	
è	O	O	
cosa	O	O	
talmente	O	O	
rozza	O	O	
,	O	O	
superficiale	O	O	
,	O	O	
barbarica	O	O	
,	O	O	
da	O	O	
non	O	O	
meritar	O	O	
punto	O	O	
di	O	O	
essere	O	O	
chiamata	O	O	
giustizia	O	O	
.	O	O	

Condanna	O	O	
o	O	O	
assolve	O	O	
alla	O	O	
cieca	O	O	
,	O	O	
per	O	O	
fatti	O	O	
esteriori	O	O	
,	O	O	
su	O	O	
testimonianze	O	O	
che	O	O	
affermano	O	O	
soltanto	O	O	
l	O	O	
'	O	O	
azione	O	O	
materiale	O	O	
,	O	O	
quel	O	O	
che	O	O	
meno	O	O	
importa	O	O	
in	O	O	
un	O	O	
delitto	O	O	
.	O	O	

Il	O	O	
vero	O	O	
delitto	O	O	
,	O	O	
lo	O	O	
spirituale	O	O	
,	O	O	
resultato	O	O	
del	O	O	
pensiero	O	O	
e	O	O	
della	O	O	
coscienza	O	O	
,	O	O	
le	O	O	
sfugge	O	O	
quasi	O	O	
sempre	O	O	
;	O	O	
e	O	O	
così	O	O	
essa	O	O	
spessissimo	O	O	
condanna	O	O	
quando	O	O	
dovrebbe	O	O	
assolvere	O	O	
e	O	O	
assolve	O	O	
,	O	O	
pur	O	O	
troppo	O	O	
!	O	O	

quando	O	O	
dovrebbe	O	O	
condannare	O	O	
.	O	O	

--	O	O	
Ecco	O	O	
i	O	O	
tuoi	O	O	
soliti	O	O	
paradossi	O	O	
!	O	O	

La	O	O	
giustizia	O	O	
umana	O	O	
fa	O	O	
quel	O	O	
che	O	O	
può	O	O	
.	O	O	

Vorresti	O	O	
dunque	O	O	
punire	O	O	
fin	O	O	
le	O	O	
intenzioni	O	O	
nascoste	O	O	
?	O	O	

--	O	O	
Certamente	O	O	
.	O	O	

Un	O	O	
omicidio	O	O	
pensato	O	O	
,	O	O	
maturato	O	O	
con	O	O	
lunga	O	O	
riflessione	O	O	
in	O	O	
tutti	O	O	
i	O	O	
suoi	O	O	
minimi	O	O	
particolari	O	O	
e	O	O	
poi	O	O	
non	O	O	
eseguito	O	O	
perchè	O	O	
l	O	O	
'	O	O	
energia	O	O	
dell	O	O	
'	O	O	
individuo	B-PER	O	
si	O	O	
è	O	O	
già	O	O	
esaurita	O	O	
nell	O	O	
'	O	O	
idearlo	O	O	
e	O	O	
prepararlo	O	O	
,	O	O	
è	O	O	
forse	O	O	
delitto	O	O	
meno	O	O	
grave	O	O	
d	O	O	
'	O	O	
un	O	O	
omicidio	O	O	
realmente	O	O	
compiuto	O	O	
?	O	O	

--	O	O	
Tu	O	O	
foggi	O	O	
un	O	O	
caso	O	O	
strano	O	O	
,	O	O	
eccezionale	O	O	
.	O	O	

--	O	O	
Più	O	O	
comune	O	O	
di	O	O	
quanto	O	O	
immagini	O	O	
.	O	O	

Ed	O	O	
io	O	O	
ho	O	O	
conosciuto	O	O	
un	B-PER	O	
uomo	I-PER	O	
,	O	O	
degno	O	O	
veramente	O	O	
di	O	O	
questo	O	O	
nome	O	O	
,	O	O	
il	O	O	
quale	O	O	
si	O	O	
è	O	O	
giudicato	O	O	
da	O	O	
sè	O	O	
per	O	O	
un	O	O	
delitto	O	O	
di	O	O	
tal	O	O	
genere	O	O	
,	O	O	
e	O	O	
si	O	O	
è	O	O	
punito	O	O	
come	O	O	
se	O	O	
avesse	O	O	
proprio	O	O	
commesso	O	O	
l	O	O	
'	O	O	
omicidio	O	O	
soltanto	O	O	
fantasticato	O	O	
e	O	O	
progettato	O	O	
.	O	O	

--	O	O	
Era	O	O	
pazzo	B-PER	O	
costui	I-PER	O	
.	O	O	

--	O	O	
Era	O	O	
un	B-PER	O	
gran	I-PER	O	
savio	I-PER	O	
,	O	O	
dovresti	O	O	
dire	O	O	
.	O	O	

La	O	O	
sua	O	O	
coscienza	O	O	
non	O	O	
gli	O	O	
dava	O	O	
pace	O	O	
.	O	O	

E	O	O	
siccome	O	O	
egli	O	O	
non	O	O	
poteva	O	O	
presentarsi	O	O	
a	O	O	
un	B-PER	O	
giudice	I-PER	O	
e	O	O	
accusarsi	O	O	
--	O	O	
il	B-PER	O	
giudice	I-PER	O	
avrebbe	O	O	
ragionato	O	O	
come	O	O	
te	O	O	
e	O	O	
lo	O	O	
avrebbe	O	O	
fatto	O	O	
chiudere	O	O	
in	O	O	
un	B-FAC	O	
manicomio	I-FAC	O	
--	O	O	
così	O	O	
per	O	O	
attutire	O	O	
i	O	O	
rimorsi	O	O	
,	O	O	
si	O	O	
è	O	O	
giudicato	O	O	
e	O	O	
si	O	O	
è	O	O	
condannato	O	O	
da	O	O	
sè	O	O	
ad	O	O	
espiare	O	O	
la	O	O	
stessa	O	O	
pena	O	O	
che	O	O	
il	B-PER	O	
magistrato	I-PER	O	
gli	O	O	
avrebbe	O	O	
inflitta	O	O	
,	O	O	
se	O	O	
avesse	O	O	
potuto	O	O	
giudicarlo	O	O	
secondo	O	O	
la	O	O	
legge	O	O	
ordinaria	O	O	
.	O	O	

--	O	O	
Come	O	O	
ha	O	O	
fatto	O	O	
?	O	O	

E	O	O	
perchè	O	O	
avea	O	O	
voluto	O	O	
ammazzare	O	O	
?	O	O	

--	O	O	
Per	O	O	
gelosia	O	O	
.	O	O	

--	O	O	
Si	O	O	
sarà	O	O	
accordato	O	O	
almeno	O	O	
le	O	O	
attenuanti	O	O	
!	O	O	

--	O	O	
disse	O	O	
Lastrucci	B-PER	O	
sorridendo	O	O	
.	O	O	

--	O	O	
Nessuna	O	O	
attenuante	O	O	
--	O	O	
riprese	O	O	
Morani	B-PER	O	
.	O	O	

--	O	O	
Oh	O	O	
!	O	O	

Non	O	O	
era	O	O	
uomo	B-PER	O	
volgare	I-PER	O	
.	O	O	

La	O	O	
profonda	O	O	
cultura	O	O	
e	O	O	
la	O	O	
esperienza	O	O	
della	O	O	
vita	O	O	
avrebbero	O	O	
dovuto	O	O	
metterlo	O	O	
in	O	O	
guardia	O	O	
contro	O	O	
i	O	O	
subdoli	O	O	
suggerimenti	O	O	
di	O	O	
quella	O	O	
bassa	O	O	
passione	O	O	
;	O	O	
infatti	O	O	
,	O	O	
riconosciutosi	O	O	
illuso	O	O	
dalle	O	O	
apparenze	O	O	
,	O	O	
egli	O	O	
pensava	O	O	
che	O	O	
sarebbe	O	O	
stato	O	O	
suo	O	O	
dovere	O	O	
sottrarsi	O	O	
al	O	O	
loro	O	O	
inganno	O	O	
.	O	O	

Invece	O	O	
,	O	O	
non	O	O	
aveva	O	O	
fatto	O	O	
nessuno	O	O	
sforzo	O	O	
;	O	O	
si	O	O	
era	O	O	
lasciato	O	O	
travolgere	O	O	
senza	O	O	
resistenza	O	O	
;	O	O	
e	O	O	
ciò	O	O	
rendeva	O	O	
imperdonabile	O	O	
agli	O	O	
occhi	O	O	
suoi	O	O	
l	O	O	
'	O	O	
intenzionale	O	O	
delitto	O	O	
.	O	O	

--	O	O	
Non	O	O	
capisco	O	O	
.	O	O	

Siamo	O	O	
forse	O	O	
padroni	B-PER	O	
di	I-PER	O	
noi	I-PER	O	
stessi	I-PER	O	
in	O	O	
certe	O	O	
circostanze	O	O	
?	O	O	

--	O	O	
Il	B-PER	O	
mio	I-PER	O	
amico	I-PER	O	
giudicava	O	O	
che	O	O	
dobbiamo	O	O	
esser	O	O	
sempre	O	O	
padroni	B-PER	O	
di	I-PER	O	
noi	I-PER	O	
stessi	I-PER	O	
,	O	O	
se	O	O	
vogliamo	O	O	
dirci	O	O	
creature	B-PER	O	
ragionevoli	I-PER	O	
.	O	O	

--	O	O	
Dal	O	O	
dovere	O	O	
all	O	O	
'	O	O	
essere	O	O	
ci	O	O	
corre	O	O	
un	O	O	
bel	O	O	
tratto	O	O	
.	O	O	

Costui	O	O	
,	O	O	
stimandosi	O	O	
creatura	B-PER	O	
ragionevole	I-PER	O	
,	O	O	
ragionava	O	O	
assai	O	O	
male	O	O	
.	O	O	

--	O	O	
No	O	O	
.	O	O	

Tullio	B-PER	O	
Dani	I-PER	O	
ha	O	O	
fatto	O	O	
una	O	O	
nobilissima	O	O	
azione	O	O	
.	O	O	

La	O	O	
sua	O	O	
sublime	O	O	
eccezionalità	O	O	
consiste	O	O	
appunto	O	O	
in	O	O	
essa	O	O	
.	O	O	

Ascolta	O	O	
.	O	O	

Aveva	O	O	
preso	O	O	
moglie	B-PER	O	
un	O	O	
po	O	O	
'	O	O	
tardi	O	O	
,	O	O	
a	O	O	
quarantacinque	O	O	
anni	O	O	
;	O	O	
e	O	O	
la	B-PER	O	
sua	I-PER	O	
signora	I-PER	O	
,	I-PER	O	
bellissima	I-PER	O	
,	O	O	
ne	O	O	
aveva	O	O	
appena	O	O	
vent	O	O	
'	O	O	
otto	O	O	
.	O	O	

Bell	B-PER	O	
'	I-PER	O	
uomo	I-PER	O	
anche	O	O	
lui	O	O	
,	O	O	
serio	O	O	
,	O	O	
indipendente	O	O	
,	O	O	
avea	O	O	
potuto	O	O	
sodisfare	O	O	
ogni	O	O	
suo	O	O	
desiderio	O	O	
,	O	O	
coltivando	O	O	
lo	O	O	
studio	O	O	
prediletto	O	O	
delle	O	O	
cose	O	O	
letterarie	O	O	
e	O	O	
filosofiche	O	O	
,	O	O	
intraprendendo	O	O	
lunghi	O	O	
viaggi	O	O	
in	O	O	
Europa	B-GPE	O	
e	O	O	
in	O	O	
America	B-GPE	O	
per	O	O	
aumentare	O	O	
la	O	O	
sua	O	O	
cultura	O	O	
,	O	O	
che	O	O	
l	O	O	
'	O	O	
eccessiva	O	O	
modestia	O	O	
gli	O	O	
ha	O	O	
impedito	O	O	
di	O	O	
mostrare	O	O	
agli	O	O	
altri	B-PER	O	
con	O	O	
lavori	O	O	
d	O	O	
'	O	O	
arte	O	O	
o	O	O	
di	O	O	
riflessione	O	O	
.	O	O	

Non	O	O	
ha	O	O	
mai	O	O	
pubblicato	O	O	
neppure	O	O	
un	O	O	
articolo	O	O	
,	O	O	
e	O	O	
avrebbe	O	O	
potuto	O	O	
scrivere	O	O	
libri	O	O	
assai	O	O	
meglio	O	O	
di	O	O	
parecchi	O	O	
.	O	O	

Aveva	O	O	
anche	O	O	
,	O	O	
come	O	O	
suol	O	O	
dirsi	O	O	
,	O	O	
goduto	O	O	
la	O	O	
vita	O	O	
.	O	O	

La	O	O	
sua	O	O	
virile	O	O	
bellezza	O	O	
gli	O	O	
avea	O	O	
procacciato	O	O	
facilmente	O	O	
molte	O	O	
buone	O	O	
fortune	O	O	
presso	O	O	
le	B-PER	O	
donne	I-PER	O	
.	O	O	

E	O	O	
fino	O	O	
ai	O	O	
quarantaquattro	O	O	
anni	O	O	
gli	O	O	
era	O	O	
riuscito	O	O	
di	O	O	
conservare	O	O	
intatta	O	O	
la	O	O	
sua	O	O	
libertà	O	O	
di	O	O	
cuore	O	O	
,	O	O	
forse	O	O	
per	O	O	
un	O	O	
sentimento	O	O	
di	O	O	
egoismo	O	O	
prodotto	O	O	
dalla	O	O	
passione	O	O	
dello	O	O	
studio	O	O	
,	O	O	
forse	O	O	
perchè	O	O	
fino	O	O	
allora	O	O	
non	O	O	
gli	O	O	
era	O	O	
avvenuto	O	O	
d	O	O	
'	O	O	
incontrare	O	O	
la	B-PER	O	
donna	I-PER	O	
ideale	I-PER	O	
da	O	O	
lui	O	O	
vagheggiata	O	O	
.	O	O	

La	O	O	
solitudine	O	O	
della	O	O	
sua	O	O	
vita	O	O	
--	O	O	
era	O	O	
rimasto	O	O	
orfano	B-PER	O	
giovanissimo	I-PER	O	
e	O	O	
non	O	O	
aveva	O	O	
stretti	B-PER	O	
parenti	I-PER	O	
--	O	O	
non	O	O	
gli	O	O	
era	O	O	
parsa	O	O	
mai	O	O	
grave	O	O	
.	O	O	

Pagava	O	O	
unicamente	O	O	
con	O	O	
la	O	O	
carità	O	O	
il	O	O	
suo	O	O	
debito	O	O	
di	O	O	
uomo	B-PER	O	
sociale	I-PER	O	
;	O	O	
e	O	O	
non	O	O	
attendeva	O	O	
che	O	O	
la	B-PER	O	
gente	I-PER	O	
si	O	O	
rivolgesse	O	O	
a	O	O	
lui	O	O	
.	O	O	

Andava	O	O	
incontro	O	O	
a	O	O	
coloro	O	O	
che	O	O	
soffrivano	O	O	
,	O	O	
e	O	O	
tra	O	O	
questi	O	O	
sapeva	O	O	
indovinare	O	O	
coloro	O	O	
che	O	O	
soffrivano	O	O	
più	O	O	
chiusamente	O	O	
in	O	O	
miseria	O	O	
schiva	O	O	
e	O	O	
rassegnata	O	O	
.	O	O	

Dopo	O	O	
i	O	O	
quarantaquattro	O	O	
anni	O	O	
,	O	O	
egli	O	O	
cominciò	O	O	
ad	O	O	
accorgersi	O	O	
che	O	O	
il	O	O	
celibato	O	O	
stava	O	O	
per	O	O	
divenirgli	O	O	
increscioso	O	O	
.	O	O	

Sentiva	O	O	
di	O	O	
aver	O	O	
sodisfatto	O	O	
a	O	O	
bastanza	O	O	
le	O	O	
esigenze	O	O	
dell	O	O	
'	O	O	
intelletto	O	O	
,	O	O	
e	O	O	
di	O	O	
aver	O	O	
trascurato	O	O	
troppo	O	O	
quelle	O	O	
del	O	O	
sentimento	O	O	
.	O	O	

Annunziandomi	O	O	
il	O	O	
suo	O	O	
prossimo	O	O	
matrimonio	O	O	
,	O	O	
mi	O	O	
avea	O	O	
domandato	O	O	
:	O	O	
--	O	O	
Ti	O	O	
sembra	O	O	
che	O	O	
ci	O	O	
sia	O	O	
molta	O	O	
sproporzione	O	O	
tra	O	O	
la	O	O	
mia	O	O	
età	O	O	
e	O	O	
quella	O	O	
della	O	O	
futura	B-PER	O	
mia	I-PER	O	
moglie	I-PER	O	
?	O	O	

--	O	O	
No	O	O	
davvero	O	O	
--	O	O	
risposi	O	O	
.	O	O	

Questa	O	O	
idea	O	O	
che	O	O	
lo	O	O	
aveva	O	O	
tenuto	O	O	
esitante	O	O	
parecchi	O	O	
mesi	O	O	
,	O	O	
dovette	O	O	
riaffacciarglisi	O	O	
,	O	O	
sei	O	O	
mesi	O	O	
dopo	O	O	
,	O	O	
alla	O	O	
mente	O	O	
quando	O	O	
egli	O	O	
sentì	O	O	
i	O	O	
primi	O	O	
sintomi	O	O	
della	O	O	
gelosia	O	O	
che	O	O	
parve	O	O	
invecchiarlo	O	O	
di	O	O	
dieci	O	O	
anni	O	O	
in	O	O	
pochissimo	O	O	
tempo	O	O	
.	O	O	

Credendolo	O	O	
colpito	O	O	
da	O	O	
male	O	O	
occulto	O	O	
che	O	O	
gli	O	O	
insidiasse	O	O	
la	O	O	
vita	O	O	
,	O	O	
lo	O	O	
sollecitavo	O	O	
caldamente	O	O	
di	O	O	
consultare	O	O	
un	B-PER	O	
medico	I-PER	O	
e	O	O	
di	O	O	
curarsi	O	O	
.	O	O	

--	O	O	
Sto	O	O	
benissimo	O	O	
--	O	O	
rispondeva	O	O	
.	O	O	

--	O	O	
La	B-PER	O	
tua	I-PER	O	
signora	I-PER	O	
è	O	O	
impensierita	O	O	
--	O	O	
gli	O	O	
dissi	O	O	
una	O	O	
volta	O	O	
.	O	O	

--	O	O	
Per	O	O	
così	O	O	
poco	O	O	
?	O	O	

--	O	O	
soggiunse	O	O	
con	O	O	
accento	O	O	
d	O	O	
'	O	O	
ironia	O	O	
e	O	O	
di	O	O	
tristezza	O	O	
.	O	O	

Non	O	O	
osai	O	O	
d	O	O	
'	O	O	
insistere	O	O	
oltre	O	O	
,	O	O	
sospettando	O	O	
intime	O	O	
ragioni	O	O	
inesplicabili	O	O	
per	O	O	
me	O	O	
.	O	O	

La	B-PER	O	
giovane	I-PER	O	
sposa	I-PER	O	
mi	O	O	
sembrava	O	O	
in	O	O	
continua	O	O	
adorazione	O	O	
davanti	O	O	
a	O	O	
lui	O	O	
.	O	O	

Bionda	O	O	
,	O	O	
piccola	O	O	
,	O	O	
gracile	O	O	
,	O	O	
sufficientemente	O	O	
colta	O	O	
da	O	O	
potere	O	O	
apprezzarne	O	O	
l	O	O	
'	O	O	
elevatissima	O	O	
intelligenza	O	O	
e	O	O	
la	O	O	
immensa	O	O	
bontà	O	O	
d	O	O	
'	O	O	
animo	O	O	
,	O	O	
io	O	O	
la	O	O	
stimavo	O	O	
vinta	O	O	
dal	O	O	
doppio	O	O	
fascino	O	O	
della	O	O	
virilità	O	O	
di	O	O	
quel	B-PER	O	
bruno	I-PER	O	
,	I-PER	O	
alto	I-PER	O	
e	I-PER	O	
forte	I-PER	O	
,	O	O	
e	O	O	
della	O	O	
luminosità	O	O	
dello	O	O	
spirito	O	O	
che	O	O	
gli	O	O	
raggiava	O	O	
negli	O	O	
occhi	O	O	
nerissimi	O	O	
e	O	O	
nell	O	O	
'	O	O	
ampia	O	O	
fronte	O	O	
.	O	O	

Sapevo	O	O	
che	O	O	
lo	O	O	
aveva	O	O	
amato	O	O	
lei	O	O	
prima	O	O	
di	O	O	
essere	O	O	
amata	O	O	
,	O	O	
e	O	O	
che	O	O	
questa	O	O	
circostanza	O	O	
avea	O	O	
molto	O	O	
contribuito	O	O	
ad	O	O	
affrettare	O	O	
la	O	O	
risoluzione	O	O	
e	O	O	
la	O	O	
decisione	O	O	
di	O	O	
lui	O	O	
.	O	O	

Un	O	O	
anno	O	O	
dopo	O	O	
,	O	O	
la	O	O	
febbre	O	O	
tifoidea	O	O	
troncava	O	O	
quasi	O	O	
improvvisamente	O	O	
quella	B-PER	O	
giovane	I-PER	O	
vita	I-PER	O	
.	O	O	

Il	O	O	
dolore	O	O	
di	O	O	
Tullio	B-PER	O	
per	O	O	
tale	O	O	
perdita	O	O	
fu	O	O	
così	O	O	
straordinario	O	O	
,	O	O	
che	O	O	
io	O	O	
,	O	O	
ripensando	O	O	
molti	O	O	
particolari	O	O	
da	O	O	
me	O	O	
notati	O	O	
e	O	O	
parecchie	O	O	
sue	O	O	
strane	O	O	
risposte	O	O	
,	O	O	
fui	O	O	
indotto	O	O	
a	O	O	
sospettarlo	O	O	
esagerato	O	O	
ad	O	O	
arte	O	O	
per	O	O	
scancellare	O	O	
le	O	O	
impressioni	O	O	
che	O	O	
essi	O	O	
avean	O	O	
dovuto	O	O	
lasciarmi	O	O	
nell	O	O	
'	O	O	
animo	O	O	
.	O	O	

Ero	O	O	
suo	B-PER	O	
amico	I-PER	O	
d	I-PER	O	
'	I-PER	O	
infanzia	I-PER	O	
.	O	O	

Da	O	O	
che	O	O	
gli	O	O	
era	O	O	
passata	O	O	
la	O	O	
smania	O	O	
dei	O	O	
viaggi	O	O	
,	O	O	
ci	O	O	
vedevamo	O	O	
quasi	O	O	
tutti	O	O	
i	O	O	
giorni	O	O	
;	O	O	
e	O	O	
soltanto	O	O	
così	O	O	
avevo	O	O	
potuto	O	O	
intravvedere	O	O	
il	O	O	
terribile	O	O	
dramma	O	O	
che	O	O	
si	O	O	
era	O	O	
rapidamente	O	O	
svolto	O	O	
nella	O	O	
vita	O	O	
intima	O	O	
di	O	O	
lui	O	O	
.	O	O	

Conoscendo	O	O	
però	O	O	
la	O	O	
sua	O	O	
indole	O	O	
taciturna	O	O	
per	O	O	
quel	O	O	
che	O	O	
riguardava	O	O	
certi	O	O	
fatti	O	O	
personali	O	O	
,	O	O	
non	O	O	
mi	O	O	
attendevo	O	O	
più	O	O	
di	O	O	
poter	O	O	
essere	O	O	
un	O	O	
giorno	O	O	
o	O	O	
l	O	O	
'	O	O	
altro	O	O	
l	B-PER	O	
'	I-PER	O	
unico	I-PER	O	
confidente	I-PER	O	
di	O	O	
quel	O	O	
segreto	O	O	
che	O	O	
avea	O	O	
sconvolto	O	O	
all	O	O	
'	O	O	
ultimo	O	O	
la	O	O	
sua	O	O	
felice	O	O	
esistenza	O	O	
.	O	O	

Una	O	O	
mattina	O	O	
lo	O	O	
vidi	O	O	
apparire	O	O	
in	O	O	
casa	B-FAC	O	
mia	I-FAC	O	
con	O	O	
un	O	O	
grosso	O	O	
plico	O	O	
di	O	O	
carte	O	O	
in	O	O	
mano	O	O	
.	O	O	

--	O	O	
Ho	O	O	
bisogno	O	O	
dell	O	O	
'	O	O	
opera	O	O	
tua	O	O	
.	O	O	

Vengo	O	O	
a	O	O	
chiederti	O	O	
il	O	O	
grave	O	O	
sacrificio	O	O	
di	O	O	
essere	O	O	
per	O	O	
parecchi	O	O	
anni	O	O	
l	B-PER	O	
'	I-PER	O	
